Kecamatan,Kelurahan,Usia 0-4 Thn,Usia 5-9 Thn,Usia 10-14 Thn,Usian 15-19 Thn,Usia 20-24 Thn,Usia 25-29 Thn,Usia 30-34 Thn,Usia 35-39 Thn,Usia 40-44 Thn,Usia 45-49 Thn,Usia 50-54 Thn,Usia 55-59 Thn,Usia 60-64 Thn,Usia 65-69 Thn,Usia 70-74 Thn,Usia 75 Thn
Andir,Campaka,1190,1510,1590,1380,1494,1411,1284,1520,1500,1421,1213,913,741,486,249,381
Andir,Ciroyom,1383,1795,1793,1490,1547,1525,1434,1638,1601,1317,1221,934,807,576,320,498
Andir,Dungus Cariang,1165,1515,1573,1370,1435,1410,1303,1536,1509,1417,1277,966,818,588,359,526
Andir,Garuda,672,824,834,830,740,819,724,880,900,786,749,544,486,348,232,341
Andir,Kebon Jeruk,584,794,798,766,818,777,751,920,956,812,845,700,637,526,378,562
Andir,Maleber,1232,1565,1641,1525,1529,1480,1327,1630,1701,1634,1305,988,899,642,440,578
Antapani,Antapani Kidul,1642,1967,1744,1576,1973,2310,2119,2041,1929,1485,1523,1613,1453,994,474,483
Antapani,Antapani Kulon,799,879,883,740,813,877,878,962,880,731,672,590,520,369,159,161
Antapani,Antapani Tengah,1788,1988,1700,1407,1570,1991,2142,2278,1839,1373,1152,1326,1385,951,402,389
Antapani,Antapani Wetan,1359,1659,1591,1350,1422,1559,1491,1683,1459,1294,1121,1052,859,499,240,259
Arcamanik,Cisaranten Bina Harapan,862,1109,1041,871,901,869,880,1030,1050,882,738,523,473,373,205,260
Arcamanik,Cisaranten Kulon,1802,2199,1970,1707,1764,1784,1940,2197,1912,1641,1402,1089,828,596,325,448
Arcamanik,Sindanglaya/Cisantren Endah,1313,1634,1692,1575,1657,1708,1429,1565,1564,1404,1296,1068,743,478,210,286
Arcamanik,Sukamiskin,1368,1699,1561,1483,1639,1788,1768,1799,1491,1418,1407,1370,1129,797,413,490
Astana Anyar,Cibadak,725,976,1007,920,935,953,929,1088,1047,949,860,803,676,576,399,539
Astana Anyar,Karanganyar,287,452,431,416,431,410,459,569,495,486,466,393,405,368,289,390
Astana Anyar,Karasak,783,1168,1105,1014,952,972,886,1218,1102,1047,851,719,618,495,328,392
Astana Anyar,Nyengseret,759,971,1021,885,894,960,871,988,993,887,769,680,545,397,258,370
Astana Anyar,Panjunan,459,630,653,573,592,556,596,595,586,499,468,410,370,234,166,244
Astana Anyar,Pelindung Hewan,1341,1746,1783,1470,1590,1559,1506,1833,1610,1430,1232,1026,855,579,356,475
Babakan Ciparay,Babakan,2190,2940,2732,2174,2359,2524,2399,2761,2454,1942,1603,1340,1165,800,411,459
Babakan Ciparay,Babakan Ciparay,2338,3125,2967,2425,2669,2733,2615,3013,2742,2185,1881,1374,1195,777,406,480
Babakan Ciparay,Cirangrang,770,1069,937,809,928,939,956,1011,907,759,610,538,463,324,158,167
Babakan Ciparay,Margahayu Utara,1528,2122,1987,1605,1698,1728,1713,2037,1950,1573,1237,954,862,640,343,356
Babakan Ciparay,Margasuka,770,1109,1065,882,994,941,979,1090,1001,820,670,516,439,299,157,176
Babakan Ciparay,Sukahaji,2131,2761,2817,2216,2524,2448,2250,2661,2396,2107,1730,1463,1202,808,471,625
Bandung Kidul,Batununggal,1278,1565,1573,1470,1481,1471,1331,1536,1625,1415,1205,1010,746,604,402,507
Bandung Kidul,Kujangsari,1499,1911,1858,1729,1702,1733,1564,1809,1851,1629,1418,1098,800,582,345,354
Bandung Kidul,Mengger,688,914,900,902,911,914,806,891,919,798,730,558,403,227,148,210
Bandung Kidul,Wates,551,747,703,624,654,621,561,724,740,609,510,387,286,183,92,117
Bandung Kulon,Caringin,616,845,783,680,696,696,753,899,803,649,499,414,401,297,160,186
Bandung Kulon,Cibuntu,1238,1594,1670,1439,1443,1458,1369,1700,1531,1340,1095,821,662,473,256,337
Bandung Kulon,Cigondewah Kaler,1503,1996,1999,1504,1729,1628,1620,1752,1705,1432,1000,620,412,299,176,190
Bandung Kulon,Cigondewah Kidul,627,816,804,658,822,783,706,810,733,627,527,420,266,210,133,163
Bandung Kulon,Cigondewah Rahayu,648,987,877,753,937,923,827,931,797,709,598,496,313,190,124,143
Bandung Kulon,Cijerah,1513,2104,2105,1795,1932,1841,1652,2108,2145,1919,1563,1070,922,619,402,462
Bandung Kulon,Gempolsari,1404,1805,1734,1566,1727,1883,1794,1831,1675,1573,1299,1251,926,457,250,268
Bandung Kulon,Warung Muncang,1422,1978,1930,1584,1692,1663,1547,1877,1792,1448,1177,932,739,503,299,371
Bandung Wetan,Cihapit,196,232,282,272,246,296,285,296,337,258,240,266,286,222,166,282
Bandung Wetan,Citarum,76,109,142,135,147,136,127,145,179,186,177,151,132,116,94,191
Bandung Wetan,Tamansari,1330,1696,1858,1674,1746,1630,1609,1845,1797,1693,1588,1239,1000,756,394,759
Batununggal,Binong,1266,1626,1638,1468,1434,1500,1332,1591,1577,1388,1225,891,700,514,278,376
Batununggal,Cibangkong,1148,1478,1520,1433,1498,1376,1292,1499,1397,1457,1272,1032,746,539,309,463
Batununggal,Gumuruh,1119,1568,1628,1460,1535,1488,1305,1570,1664,1471,1257,989,794,629,388,593
Batununggal,Kacapiring,511,695,717,683,707,703,642,640,730,716,706,557,426,291,199,343
Batununggal,Kebongedang,584,816,827,741,781,725,602,820,800,769,695,527,433,298,159,281
Batununggal,Kebonwaru,871,1180,1201,1165,1227,1137,998,1150,1141,1169,1056,866,618,424,252,400
Batununggal,Maleer,1138,1468,1373,1308,1419,1364,1231,1419,1296,1250,1158,935,732,507,271,410
Batununggal,Samoja,856,1106,1165,1058,1065,1020,922,1148,994,946,892,715,532,367,215,344
Bojongloa Kaler,Babakan Asih,1069,1378,1453,1197,1287,1249,1202,1375,1323,1206,1044,834,709,458,296,370
Bojongloa Kaler,Babakan Tarogong,1982,2615,2530,2079,2338,2297,2171,2519,2380,1982,1687,1410,1183,817,432,544
Bojongloa Kaler,Jamika,1802,2399,2419,2038,2231,1972,1992,2386,2207,1989,1739,1448,1198,851,522,677
Bojongloa Kaler,Kopo,2162,2711,2838,2334,2374,2436,2350,2846,2482,2146,1813,1393,1132,825,405,594
Bojongloa Kaler,Suka Asih,1365,1722,1714,1479,1516,1526,1469,1614,1573,1438,1085,937,801,527,299,377
Bojongloa Kidul,Cibaduyut,932,1190,1183,983,1028,1027,965,1154,1076,937,675,528,397,238,127,138
Bojongloa Kidul,Cibaduyut Kidul,632,934,839,690,746,794,687,816,751,680,458,378,310,210,122,129
Bojongloa Kidul,Cibaduyut Wetan,556,736,798,635,622,589,584,760,750,669,491,308,244,158,135,135
Bojongloa Kidul,Kebon Lega,1605,2104,1987,1747,1751,1882,1739,2140,2060,1696,1390,1168,996,734,432,598
Bojongloa Kidul,Mekarwangi,687,990,970,818,788,813,741,1009,933,805,582,515,346,245,153,171
Bojongloa Kidul,Situsaeur,1390,1783,1879,1512,1641,1641,1553,1825,1692,1519,1403,1132,860,672,434,549
Buahbatu,Cijaura,1848,2494,2357,2052,2152,2222,2169,2347,2340,1927,1690,1382,1158,814,452,503
Buahbatu,Jatisari,563,703,672,607,764,739,697,752,651,642,611,541,432,320,171,155
Buahbatu,Margasari,2650,3530,3418,2932,3096,3014,2942,3339,3356,2920,2428,1870,1483,1075,690,817
Buahbatu,Sekejati,1693,1924,1793,1757,2015,2218,2088,1814,1751,1618,1652,1729,1224,802,396,465
Cibeunying Kaler,Cigadung,2154,2656,2518,2199,2451,2625,2508,2734,2570,2179,1839,1593,1357,1021,487,757
Cibeunying Kaler,Cihaur Geulis,675,904,1062,1000,981,911,793,955,1023,1117,980,758,542,395,241,430
Cibeunying Kaler,Neglasari,581,771,816,669,725,725,638,825,768,718,633,493,380,278,197,279
Cibeunying Kaler,Sukaluyu,920,1250,1250,1126,1257,1207,1175,1253,1283,1214,1176,861,700,479,323,532
Cibeunying Kidul,Cicadas,1088,1357,1421,1200,1265,1193,1192,1299,1342,1263,1094,807,603,425,270,447
Cibeunying Kidul,Cikutra,1429,1894,1942,1680,1705,1608,1611,1872,1869,1760,1523,1089,1047,723,462,810
Cibeunying Kidul,Padasuka,1112,1383,1459,1253,1324,1365,1207,1444,1413,1282,1138,919,775,527,288,470
Cibeunying Kidul,Pasirlayung,1486,1963,1819,1559,1677,1732,1672,1967,1886,1470,1367,1161,1015,778,374,509
Cibeunying Kidul,Sukamaju,673,889,926,731,878,804,788,883,876,845,804,693,600,411,211,412
Cibeunying Kidul,Sukapada,1516,1922,1883,1680,1731,1831,1680,1954,1711,1560,1428,1197,1065,679,303,462
Cibiru,Cipadung,1604,1978,1902,1594,1895,1896,1622,1842,1760,1622,1432,1085,797,560,280,326
Cibiru,Cisurupan,992,1275,1181,1048,1086,1115,1072,1096,1006,978,753,636,450,331,160,255
Cibiru,Palasari,1453,1842,1865,1666,1829,1764,1652,1685,1695,1639,1487,1120,793,552,257,327
Cibiru,Pasir Biru,1197,1464,1487,1222,1208,1297,1144,1354,1359,1158,953,752,521,319,159,265
Cicendo,Arjuna,724,923,915,891,923,998,909,1037,972,943,908,802,662,558,345,626
Cicendo,Husen Sastranegara,1060,1414,1414,1308,1328,1227,1169,1305,1250,1229,1120,859,684,446,262,371
Cicendo,Pajajaran,1722,2234,2266,2004,2046,1929,1744,2245,2249,1868,1591,1318,989,739,402,572
Cicendo,Pamoyanan,395,562,563,498,504,559,568,623,663,558,554,487,448,377,250,429
Cicendo,Pasir Kaliki,514,627,657,631,624,659,641,769,719,654,647,547,493,364,290,443
Cicendo,Sukaraja,1588,1943,2024,1825,1885,1920,1655,1949,1914,1816,1518,1177,926,611,383,462
Cidadap,Ciumbuleuit,1591,2017,1946,1727,1823,1921,1670,1927,1745,1603,1390,1126,957,642,371,531
Cidadap,Hegarmanah,1152,1626,1604,1423,1470,1538,1492,1701,1572,1545,1336,1151,923,642,413,625
Cidadap,Ledeng,710,896,899,780,813,825,770,930,844,779,690,531,417,335,208,333
Cinambo,Babakan Penghulu,524,631,627,554,577,607,553,628,670,546,427,330,260,162,63,128
Cinambo,Cisaranten Wetan,451,592,500,443,458,464,407,510,570,440,342,251,235,141,90,96
Cinambo,Pakemitan,500,532,515,452,621,610,545,514,504,459,394,268,192,129,75,124
Cinambo,Sukamulya,378,486,493,399,418,460,380,475,449,405,336,265,237,157,92,125
Coblong,Cipaganti,698,924,944,885,824,946,814,904,967,849,789,637,512,378,247,366
Coblong,Dago,2325,2868,2796,2467,2695,2731,2627,2923,2641,2381,2150,1723,1458,1057,575,991
Coblong,Lebak Siliwangi,242,304,308,251,322,318,316,280,302,293,260,227,188,144,82,157
Coblong,Lebakgede,743,887,899,698,751,806,796,960,968,815,704,579,504,363,270,428
Coblong,Sadangserang,1628,2259,2155,1927,2024,2017,1919,2159,2031,1949,1767,1421,1078,814,472,769
Coblong,Sekeloa,1789,2335,2208,1851,1940,2103,2057,2334,2118,1948,1723,1344,1086,793,547,843
Gedebage,Cimenerang,292,393,428,336,307,321,266,374,413,342,242,139,120,68,34,40
Gedebage,Cisantren Kidul,1494,1679,1590,1396,1592,1802,1660,1690,1614,1363,1232,1172,928,636,331,485
Gedebage,Rancabolang,738,1112,1090,833,741,637,757,971,1140,892,632,399,258,180,85,122
Gedebage,Rancanumpang,279,388,519,554,489,321,267,298,405,510,425,231,153,89,53,51
Kiaracondong,Babakan Surabaya,1361,1718,1766,1501,1619,1652,1510,1684,1629,1422,1313,1045,785,549,334,346
Kiaracondong,Babakansari,2619,3340,3288,2804,2971,2890,2837,3485,3161,2872,2384,1947,1649,1206,601,766
Kiaracondong,Cicaheum,1147,1442,1469,1277,1407,1361,1290,1436,1386,1237,1167,896,746,481,272,341
Kiaracondong,Kebon Jayanti,845,1119,1099,950,1089,1004,899,953,1106,1034,907,714,538,413,257,398
Kiaracondong,Kebon Kangkung,800,1060,1055,947,1001,919,860,1057,1061,966,858,663,523,411,229,347
Kiaracondong,Sukapura,1906,2283,2334,2034,2259,2249,1977,2253,2198,2060,1904,1490,1196,744,421,548
