Neighborhood,Latitude,Longitude,VenueName,VenueLatitude,VenueLongitude,VenueCategory
Kecamatan Andir,-6.9138999999999555,107.57435000000004,Noah's Barn Coffeenery,-6.91482098607417,107.5774830062808,Coffee Shop
Kecamatan Andir,-6.9138999999999555,107.57435000000004,West Point Hotel,-6.912569179669317,107.57794691046728,Hotel
Kecamatan Andir,-6.9138999999999555,107.57435000000004,Bakmie Royal,-6.920585620682807,107.57946900447156,Noodle House
Kecamatan Andir,-6.9138999999999555,107.57435000000004,Starbucks,-6.903985636231553,107.57947146892546,Coffee Shop
Kecamatan Andir,-6.9138999999999555,107.57435000000004,Dapoer Pandan Wangi,-6.928557027565244,107.58191597818086,Sundanese Restaurant
Kecamatan Andir,-6.9138999999999555,107.57435000000004,d`Groove Sport & Wellness Center,-6.920882588775425,107.57466916456112,Gym / Fitness Center
Kecamatan Andir,-6.9138999999999555,107.57435000000004,23 Paskal,-6.915411253337884,107.59428585610294,Shopping Mall
Kecamatan Andir,-6.9138999999999555,107.57435000000004,Domino's Pizza,-6.917921,107.58115,Pizza Place
Kecamatan Andir,-6.9138999999999555,107.57435000000004,Yogya Sumbersari Junction (Suju),-6.931714491115331,107.57569284182937,Department Store
Kecamatan Andir,-6.9138999999999555,107.57435000000004,UNIQLO (ユニクロ) (UNIQLO),-6.915224947428644,107.59477721714163,Clothing Store
Kecamatan Andir,-6.9138999999999555,107.57435000000004,Bakso Enggal Malang 3,-6.927078100409793,107.57513713521104,Indonesian Meatball Place
Kecamatan Andir,-6.9138999999999555,107.57435000000004,Mie Kocok Subur 69,-6.92049024541225,107.58015370868713,Noodle House
Kecamatan Andir,-6.9138999999999555,107.57435000000004,Starbucks,-6.915997836069156,107.59449233903996,Coffee Shop
Kecamatan Andir,-6.9138999999999555,107.57435000000004,May Star Recipe,-6.9150968,107.59396,Chinese Restaurant
Kecamatan Andir,-6.9138999999999555,107.57435000000004,Marugame Udon,-6.915409872385125,107.59434849843545,Udon Restaurant
Kecamatan Andir,-6.9138999999999555,107.57435000000004,NASI UDUK 88 BREBES BERHIAS,-6.907591926518632,107.58383913595057,Indonesian Restaurant
Kecamatan Andir,-6.9138999999999555,107.57435000000004,Martabak Nikmat Andir,-6.9191905507036635,107.59032699741933,Snack Place
Kecamatan Andir,-6.9138999999999555,107.57435000000004,Starbucks,-6.904274570036781,107.58009075770205,Coffee Shop
Kecamatan Andir,-6.9138999999999555,107.57435000000004,Martabak New Capitol,-6.919169441600928,107.59068676895092,Snack Place
Kecamatan Andir,-6.9138999999999555,107.57435000000004,Nasi Kuning & Kupat Tahu Mang Entis,-6.922153258548512,107.58785172751607,Indonesian Restaurant
Kecamatan Andir,-6.9138999999999555,107.57435000000004,Citylink XXI,-6.929535663300908,107.5858989497734,Multiplex
Kecamatan Andir,-6.9138999999999555,107.57435000000004,Hilton Bandung,-6.912968643598712,107.59758405077433,Hotel
Kecamatan Andir,-6.9138999999999555,107.57435000000004,Yello Hotel Paskal,-6.915153687283207,107.59506286060409,Hotel
Kecamatan Andir,-6.9138999999999555,107.57435000000004,Sukha Delights,-6.914591300613428,107.5948815958869,Café
